,Name,log2FoldChange,padj,type,-log10padj,color
754,mmpL4,-0.342,0.249038787750024,coding,0.6037330063423924,Not significative
755,eccB2,1.902,2.06982050063918e-09,pseudogene,8.684067315877407,log2FC > 1
756,ftsX,0.139,0.621454587808515,coding,0.2065906015110704,Not significative
757,aceA,0.131,0.518285497002424,coding,0.2854309436974991,Not significative
758,mbtC,-0.173,0.339228014085532,pseudogene,0.4695082900816334,Not significative
759,sigG,-0.8,0.0001704944573251,pseudogene,3.768289735101109,-1 < log2FC < 1
760,pyk,0.536,0.285369910759572,non-coding,0.5445918205695779,Not significative
761,moaA,-0.963,3.5779337611069e-07,non-coding,6.446367703861448,-1 < log2FC < 1
762,secA,-1.241,4.6768109050156e-08,non-coding,7.330050189332136,log2FC < -1
763,mazE4,0.959,0.117223583655051,coding,0.9309850058871452,Not significative
764,trmB,-0.853,0.003425765010833,coding,2.465242430628725,-1 < log2FC < 1
765,trpB,2.855,3.861707197359929e-30,coding,29.413220658415664,log2FC > 1
766,cmrA,-0.107,0.702749712476425,coding,0.1531993234080742,Not significative
767,mscL,-0.336,0.0505347829608322,pseudogene,1.2964095951876042,Not significative
768,nusB,-0.156,0.578477336964325,pseudogene,0.2377136507556767,Not significative
769,oppA,0.291,0.171683839242754,pseudogene,0.7652705834530333,Not significative
770,iniR,-0.073,0.767062611692956,pseudogene,0.1151691851997157,Not significative
771,narI,0.996,1.08802817840575e-05,coding,4.96335985687345,-1 < log2FC < 1
772,wbbL,-0.323,0.310809404166186,coding,0.5075058492157394,Not significative
773,rpmH,-0.715,4.7211881590262687e-11,pseudogene,10.325948690778564,-1 < log2FC < 1
774,prp1,-0.211,0.161326760395608,pseudogene,0.7922935871789825,Not significative
775,eccC3,-0.321,0.347358102922577,coding,0.4592225657589157,Not significative
776,cwlM,-0.62,0.0197975832787738,coding,1.703387821493593,-1 < log2FC < 1
777,aac(2')-Ic,0.093,0.79971158771893,coding,0.0970666110654819,Not significative
778,cmr,-1.528,1.6145913478418501e-10,coding,9.791937379112982,log2FC < -1
779,rplO,-1.04,0.0007607483104891,coding,3.118759003473345,log2FC < -1
780,eccA1,-0.665,0.001588069683695,coding,2.799130444868469,-1 < log2FC < 1
781,nrdH,-0.365,0.330981202161942,non-coding,0.4801966709649592,Not significative
782,rpsD,-0.161,0.579891234640532,non-coding,0.2366534557905311,Not significative
783,arcA,-0.643,0.0514250590831831,pseudogene,1.2888252006641443,Not significative
784,atpD,0.115,0.490968534501155,coding,0.3089463403218467,Not significative
785,dacB1,0.145,0.392042443820692,pseudogene,0.4066669122671292,Not significative
786,carA,0.316,0.0807398180944442,coding,1.0929122333833228,Not significative
787,rfbA,0.015,0.982728532669281,coding,0.0075664344018971,Not significative
788,ispH,1.683,3.04985228341829e-05,non-coding,4.515721194767928,log2FC > 1
789,ethA,1.399,0.0052457030302221,pseudogene,2.280196299332104,log2FC > 1
790,mtr,1.164,0.0857472509043923,pseudogene,1.0667797947393167,Not significative
